0.02	187.7
0.01	66.2
0	48.8
-0.01	28
-0.02	20.3
-0.03	16.2
-0.04	13.6
-0.05	11.7
-0.06	10.4
-0.07	9.3
-0.08	8.5
-0.09	7.8
-0.1	7.3
-0.11	6.8
-0.12	6.4
-0.13	6
-0.14	5.7
-0.15	5.5
-0.16	5.2
-0.17	4.9
-0.18	4.8
-0.19	4.7
-0.2	4.5
-0.21	4.4
-0.22	4.3
-0.22	4.3
-0.21	4.2
-0.2	4.1
-0.19	4
-0.18	4
-0.17	4
-0.16	4
-0.15	3.9
-0.14	3.9
-0.13	3.9
-0.12	3.9
-0.11	3.9
-0.1	3.9
-0.09	3.9
-0.08	3.9
-0.07	3.8
-0.06	3.8
-0.05	3.8
-0.04	3.8
-0.03	3.8
-0.02	3.8
-0.01	3.8
0	3.8
0.01	3.8
0.02	3.8
0.03	3.8
0.04	3.8
0.05	3.8
0.06	3.8
0.07	3.8
0.08	3.8
0.09	3.8
0.1	3.8
0.11	3.8
0.12	3.8
0.13	3.8
0.14	3.9
0.15	3.9
0.16	3.9
0.17	3.9
0.18	3.9
0.19	3.9
0.2	3.9
0.21	3.9
0.22	4
0.23	4
0.24	4
0.25	4
0.26	4
0.27	4.1
0.28	4.1
0.29	4.1
0.3	4.1
0.31	4.2
0.32	4.2
0.33	4.2
0.34	4.3
0.35	4.3
0.36	4.4
0.37	4.4
0.38	4.5
0.39	4.5
0.4	4.6
0.41	4.7
0.42	4.7
0.43	4.8
0.44	4.9
0.45	5
0.46	5.1
0.47	5.3
0.48	5.5
0.49	5.7
0.5	6
0.51	6.5
0.51	9.3
0.5	10.5
0.49	11.7
0.48	13
0.47	14.4
0.46	16
0.45	17.9
0.44	20
0.43	22.6
0.42	25.6
0.41	29.2
0.4	33.6
0.39	39
0.38	45.6
0.37	54
0.36	62.4
